吃|369.856
难道|369.371
听|369.335
然后|363.654
送|362.218
也不|362.036
少不得|361.871
惜春|360.444
的人|358.536
因问|357.651
此时|353.399
一般|348.246
且|347.57
就是了|345.321
黛玉笑道|343.484
在那里|342.577
喜欢|341.148
一日|340.709
花|337.831
林姑娘|336.116
的事|333.518
叫他|332.899
想了一想|332.881
宝玉听说|331.311
迎春|330.391
故|329.945
鸳鸯道|328.902
到底|328.293
凤姐笑道|326.32
头|324.8
说话|323.651
命|321.967
便说道|321.839
早|320.731
忽见|320.535
不如|320.35
多|320.069
因说道|318.59
天|315.308
明儿|312.89
心里|311.321
尤二姐|311.217
湘云道|311.083
想|310.28
丫头|308.627
正|307.898
看见|305.862
为什么|305.28
只管|305.107
不好|304.633
林妹妹|304.301
雨村|303.965
平儿道|303.884
如此|303.715
李纨道|303.585
罢了|302.714
生气|301.718
但|299.131
越发|297.293
众人道|297.267
正是|296.298
请了安|292.751
袭人笑道|291.416
话|289.812
比|289.633
只说|289.329
只听|288.159
为|287.988
小丫头|287.165
问道|286.591
姨太太|285.434
有趣|284.766
气|283.921
去罢|283.45
史湘云|282.724
只怕|282.012
众人听了|281.712
香|281.492
里头|280.963
小|279.205
瞧瞧|278.657
两|277.819
拿|277.215
倒是|275.795
不然|275.423
今|275.066
半日|272.537
打|271.155
探春道|271.048
都是|270.782
虽|270.74
凤姐儿笑道|269.705
若是|269.202
老祖宗|268.671
外头|263.063
哭|261.306
宝琴|260.24
便道|259.87
要紧|259.705
薛姨妈道|259.397
后|259.362
已经|259.127
才好|259.065
没|257.602
倘或|256.207
叹道|255.037
情|253.951
秋纹|253.543
凤姐儿道|253.531
昨儿|253.419
银子|253.155
回去|252.206
雪雁|251.799
四字|250.992
伏侍|249.829
芳官|249.678
说话之间|249.382
遂|249.242
连忙|248.761
这话|248.411
只有|247.046
真|245.465
过|245.268
无奈|244.697
作什么|242.848
薛蝌|242.745
姑娘们|241.844
门|241.6
不能|241.093
用|240.22
宝姐姐|240.008
又说|238.832
探春笑道|238.818
也未可知|238.074
放心|237.78
俗语说|236.648
三|236.347
者|235.837
见了|234.234
站着|233.992
丫头们|233.791
既|233.757
笑|232.995
明白|232.849
打发|232.474
人家|232.107
家里|231.843
后来|231.751
老婆子|229.251
贾|228.262
宝二爷|226.89
话说|226.541
嫂子|226.329
二字|224.898
还有|223.521
也是|222.272
还是|222.271
凤姐听了|221.601
素日|221.465
焙茗道|221.184
日|220.702
可不是|220.695
出|219.487
那个|218.881
病|218.575
唬了一跳|218.531
莺儿|217.173
死了|217.125
跟着|217.039
老|215.685
无|214.93
包勇道|214.716
刘姥姥道|214.59
想着|214.534
给他|214.384
并|213.765
身上|212.451
二|212.393
闹|212.164
请安|211.919
外面|211.611
里面|211.419
坐|211.416
李纹|211.401
那些|211.214
此|210.655
众人都道|210.575
心中|209.89
看着|209.545
便问|209.339
因笑道|209.289
亦|208.63
独|208.181
且说|207.953
别人|207.797
林之孝|207.746
死|207.16
湘云笑道|207.052
可怜|206.331
好姐姐|206.057
宝兄弟|205.886
该罚|205.042
找|204.387
平儿笑道|203.303
些|201.918
二则|201.911
前儿|201.394
听了|201.347
给|201.344
反|200.954
过去|200.897
不妨|200.077
横竖|199.661
忘了|199.42
这是|199.119
昨日|198.214
凤丫头|197.695
依我说|197.638
以后|197.626
明日|197.625
次日|196.559
里|196.043
妈妈|195.018
接|194.921
长|194.323
知|193.559
同|192.974
中|192.916
起|191.89
走来|191.564
从小儿|191.426
妙玉|191.332
也有|190.849
拉着|190.727
贾母听了|190.434
晴雯道|190.143
一样|188.728
好容易|188.681
婶子|188.642
原是|188.53
急|188.501
既这样|187.987
奴才|187.07
带|186.963
糊涂|186.734
起身|185.025
商议|185.023
坐下|184.691
贾政听了|183.87
当|183.58
原|183.381
前日|182.175
偏|181.976
月|181.976
麝月道|181.478
念道|181.042
紫鹃道|181.041
好好的|180.863
姑奶奶|179.538
岂不|179.494
说是|178.944
怕|177.053
注云|177.024
生|176.94
或|175.727
使|174.639
忽然想起|174.444
金桂|174.374
贾珍道|173.914
一声|173.689
宝蟾|173.587
贾兰|173.51
小厮们|173.195
悄悄的|172.931
不用|172.818
丫鬟|172.643
可巧|172.56
笑说|172.304
就完了|171.578
李十儿道|171.564
乃|170.806
答应|170.171
荣国府|170.048
作|169.146
的东西|169.013
冷|168.948
秦钟|168.832
太太们|168.724
更|168.206
从|168.161
们|167.889
跟前|167.525
旺儿|166.679
天天|166.17
做什么|166.012
何|165.933
几个|164.81
惜春道|164.378
到了|163.863
吃饭|163.444
尤氏道|162.893
回头|162.508
带了|162.247
不过是|162.206
两个人|161.711
书|161.588
红了脸|161.471
才是|161.42
白|161.279
一个人|161.189
痴|161.106
前|160.943
的时候|160.646
屋里|160.642
答应了|160.458
哥哥|159.606
也罢了|159.362
那时|159.277
接着|158.903
又有|158.627
贾蔷|158.466
又问|157.884
题着|157.611
当下|157.321
站起来|157.313
这些|156.766
往|156.163
瞧|155.847
大奶奶|155.706
个|155.445
既这么着|155.114
想来|154.609
红楼梦|154.559
回家|154.459
再者|154.199
奇怪|153.76
可惜|153.419
小蹄子|153.365
说的|152.116
摸不着头脑|151.943
冷笑道|151.545
自不必说|151.096
问他|150.678
喜之不尽|150.647
不肯|149.914
字|149.473
宝姑娘|148.744
正闹着|148.52
不觉|148.324
看时|148.058
尤三姐|146.679
我且问你|146.539
必是|146.338
那人道|146.169
答应着|146.098
怨不得|145.368
李绮|145.198
此是后话|144.833
是谁|144.513
说了|144.357
虽然|144.284
满|144.162
回说|144.114
听了这话|142.913
薛蟠道|142.9
黛玉听了|142.421
不知道|142.18
王|141.692
忙问|141.509
好妹妹|141.452
名|141.419
陪笑道|141.084
叫人|140.817
又命|140.684
亲|140.582
酒|140.348
坐着|140.254
跪下|140.035
莫|139.826
这件事|139.595
.|139.418
伤心|139.311
